Start date;End date;grid load [MWh];Residual load [MWh]
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;44,518.25;2,286.50
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;42,269.25;-457.00
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;41,096.00;-2,119.00
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;40,805.25;-1,879.25
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;40,678.00;-2,217.25
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;41,202.75;-2,063.00
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;41,366.25;-3,097.50
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;43,030.00;-1,371.50
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;45,648.75;463.50
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;49,919.00;649.00
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;51,942.25;-1,842.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;53,425.75;-3,813.00
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;53,141.50;-5,554.00
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;52,026.75;-5,964.00
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;50,861.00;-4,325.25
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;50,273.25;-1,641.50
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;50,986.50;1,715.00
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;52,979.25;2,945.75
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;54,245.00;4,090.00
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;53,392.50;3,816.25
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;50,977.25;2,413.00
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;49,187.50;2,177.50
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;49,284.50;4,823.50
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;47,133.25;4,354.25
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;45,004.00;229.25
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;43,241.50;175.50
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;42,511.50;1,142.50
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;42,950.00;3,826.00
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;44,721.75;7,955.25
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;48,531.75;14,215.25
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;54,615.00;22,567.75
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;58,605.50;29,140.00
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;61,204.25;33,759.25
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;62,968.00;36,081.50
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;64,172.00;37,103.50
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;64,866.00;37,757.50
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;64,723.00;38,005.50
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;64,112.50;38,417.00
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;62,484.25;39,230.25
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;61,315.00;40,918.00
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;61,951.25;42,223.75
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;63,847.00;42,776.75
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;64,165.75;41,639.75
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;63,156.25;39,646.75
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;59,759.00;35,525.50
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;56,271.25;31,687.25
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;53,475.75;28,770.25
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;50,560.50;25,546.00
