dateAndTime;price [ct/kWh]
2024-01-01 00:00:00;-0.4487
2024-01-01 01:00:00;6.5731
2024-01-01 02:00:00;-1.3880
2024-01-01 03:00:00;0.3918
2024-01-01 04:00:00;0.5895
2024-01-01 05:00:00;0.7619
2024-01-01 06:00:00;1.1430
2024-01-01 07:00:00;0.9045
2024-01-01 08:00:00;0.3341
2024-01-01 09:00:00;0.1990
2024-01-01 10:00:00;0.1409
2024-01-01 11:00:00;0.3852
2024-01-01 12:00:00;0.4796
2024-01-01 13:00:00;0.9925
2024-01-01 14:00:00;0.9032
2024-01-01 15:00:00;1.5404
2024-01-01 16:00:00;5.9744
2024-01-01 17:00:00;5.1204
2024-01-01 18:00:00;5.4250
2024-01-01 19:00:00;5.0457
2024-01-01 20:00:00;4.3839
2024-01-01 21:00:00;4.5597
2024-01-01 22:00:00;4.0763
2024-01-01 23:00:00;3.2134
2024-01-02 00:00:00;2.9754
2024-01-02 01:00:00;0.5744
2024-01-02 02:00:00;3.6077
2024-01-02 03:00:00;1.7283
2024-01-02 04:00:00;1.4164
2024-01-02 05:00:00;2.0675
2024-01-02 06:00:00;6.3488
2024-01-02 07:00:00;6.5509
2024-01-02 08:00:00;6.6891
2024-01-02 09:00:00;6.3066
2024-01-02 10:00:00;6.8932
2024-01-02 11:00:00;7.4621
2024-01-02 12:00:00;7.8493
2024-01-02 13:00:00;8.2415
2024-01-02 14:00:00;8.3758
2024-01-02 15:00:00;9.4703
2024-01-02 16:00:00;8.8959
2024-01-02 17:00:00;8.1071
2024-01-02 18:00:00;6.8446
2024-01-02 19:00:00;5.6162
2024-01-02 20:00:00;5.2285
2024-01-02 21:00:00;4.8273
2024-01-02 22:00:00;3.0511
2024-01-02 23:00:00;-0.0045
2024-01-03 00:00:00;-0.2474
2024-01-03 01:00:00;-0.0701
2024-01-03 02:00:00;-0.2819
2024-01-03 03:00:00;0.0223
2024-01-03 04:00:00;0.4266
2024-01-03 05:00:00;1.2135
2024-01-03 06:00:00;1.1799
2024-01-03 07:00:00;5.6321
2024-01-03 08:00:00;6.3102
2024-01-03 09:00:00;6.0838
2024-01-03 10:00:00;5.6771
2024-01-03 11:00:00;5.6170
2024-01-03 12:00:00;5.4354
2024-01-03 13:00:00;5.9055
2024-01-03 14:00:00;6.7121
2024-01-03 15:00:00;7.8449
2024-01-03 16:00:00;7.9282
2024-01-03 17:00:00;8.2876
2024-01-03 18:00:00;7.6503
2024-01-03 19:00:00;7.3463
2024-01-03 20:00:00;6.6680
2024-01-03 21:00:00;6.7020
2024-01-03 22:00:00;5.1014
2024-01-03 23:00:00;5.4559
2024-01-04 00:00:00;5.5247
2024-01-04 01:00:00;4.5993
2024-01-04 02:00:00;3.6601
2024-01-04 03:00:00;2.3228
2024-01-04 04:00:00;4.0366
2024-01-04 05:00:00;6.9117
2024-01-04 06:00:00;9.0278
2024-01-04 07:00:00;9.3826
2024-01-04 08:00:00;9.0953
2024-01-04 09:00:00;9.2297
2024-01-04 10:00:00;8.9483
2024-01-04 11:00:00;8.9308
2024-01-04 12:00:00;8.4990
2024-01-04 13:00:00;9.0087
2024-01-04 14:00:00;9.7623
2024-01-04 15:00:00;10.8480
2024-01-04 16:00:00;11.1961
2024-01-04 17:00:00;13.6660
2024-01-04 18:00:00;13.9213
2024-01-04 19:00:00;11.4051
2024-01-04 20:00:00;9.3305
2024-01-04 21:00:00;9.9403
2024-01-04 22:00:00;8.3016
2024-01-04 23:00:00;8.4979
2024-01-05 00:00:00;8.1484
2024-01-05 01:00:00;7.3783
2024-01-05 02:00:00;7.1398
2024-01-05 03:00:00;7.4332
2024-01-05 04:00:00;8.0334
2024-01-05 05:00:00;8.3764
2024-01-05 06:00:00;9.2446
2024-01-05 07:00:00;9.3590
2024-01-05 08:00:00;8.9304
2024-01-05 09:00:00;9.3770
2024-01-05 10:00:00;9.5080
2024-01-05 11:00:00;9.7465
2024-01-05 12:00:00;9.0390
2024-01-05 13:00:00;9.5723
2024-01-05 14:00:00;10.1753
2024-01-05 15:00:00;10.9198
2024-01-05 16:00:00;11.2880
2024-01-05 17:00:00;10.8485
2024-01-05 18:00:00;9.8960
2024-01-05 19:00:00;9.4954
2024-01-05 20:00:00;9.5144
2024-01-05 21:00:00;9.2421
2024-01-05 22:00:00;8.5267
2024-01-05 23:00:00;8.2485
2024-01-06 00:00:00;7.7665
2024-01-06 01:00:00;7.5551
2024-01-06 02:00:00;7.1874
2024-01-06 03:00:00;7.3119
2024-01-06 04:00:00;7.6582
2024-01-06 05:00:00;8.1442
2024-01-06 06:00:00;8.4758
2024-01-06 07:00:00;8.7600
2024-01-06 08:00:00;9.0108
2024-01-06 09:00:00;9.1444
2024-01-06 10:00:00;9.7551
2024-01-06 11:00:00;9.8994
2024-01-06 12:00:00;9.8246
2024-01-06 13:00:00;9.8447
2024-01-06 14:00:00;9.5929
2024-01-06 15:00:00;10.3217
2024-01-06 16:00:00;10.7001
2024-01-06 17:00:00;10.4698
2024-01-06 18:00:00;9.6389
2024-01-06 19:00:00;9.2301
2024-01-06 20:00:00;8.5964
2024-01-06 21:00:00;8.7899
2024-01-06 22:00:00;7.6450
2024-01-06 23:00:00;7.5951
2024-01-07 00:00:00;8.2063
2024-01-07 01:00:00;7.4500
2024-01-07 02:00:00;7.2932
2024-01-07 03:00:00;7.3369
2024-01-07 04:00:00;7.4902
2024-01-07 05:00:00;7.7585
2024-01-07 06:00:00;8.4902
2024-01-07 07:00:00;8.3828
2024-01-07 08:00:00;8.3011
2024-01-07 09:00:00;8.5254
2024-01-07 10:00:00;8.7484
2024-01-07 11:00:00;8.8472
2024-01-07 12:00:00;8.7529
2024-01-07 13:00:00;8.7046
2024-01-07 14:00:00;8.8476
2024-01-07 15:00:00;9.6535
2024-01-07 16:00:00;10.0616
2024-01-07 17:00:00;10.2828
2024-01-07 18:00:00;9.8608
2024-01-07 19:00:00;9.6981
2024-01-07 20:00:00;9.5289
2024-01-07 21:00:00;9.1831
2024-01-07 22:00:00;8.1276
2024-01-07 23:00:00;8.1452
2024-01-08 00:00:00;8.3950
2024-01-08 01:00:00;7.9599
2024-01-08 02:00:00;7.7917
2024-01-08 03:00:00;7.8604
2024-01-08 04:00:00;8.1092
2024-01-08 05:00:00;8.8040
2024-01-08 06:00:00;10.4455
2024-01-08 07:00:00;11.8562
2024-01-08 08:00:00;12.2202
2024-01-08 09:00:00;11.5377
2024-01-08 10:00:00;10.8071
2024-01-08 11:00:00;9.9880
2024-01-08 12:00:00;9.2334
2024-01-08 13:00:00;9.4793
2024-01-08 14:00:00;10.5296
2024-01-08 15:00:00;11.6383
2024-01-08 16:00:00;12.4492
2024-01-08 17:00:00;13.0557
2024-01-08 18:00:00;12.3116
2024-01-08 19:00:00;11.4173
2024-01-08 20:00:00;10.6852
2024-01-08 21:00:00;10.0080
2024-01-08 22:00:00;8.9851
2024-01-08 23:00:00;8.8980
2024-01-09 00:00:00;8.3892
2024-01-09 01:00:00;8.2884
2024-01-09 02:00:00;8.1264
2024-01-09 03:00:00;8.3975
2024-01-09 04:00:00;8.9062
2024-01-09 05:00:00;9.6636
2024-01-09 06:00:00;12.1907
2024-01-09 07:00:00;13.1460
2024-01-09 08:00:00;13.2545
2024-01-09 09:00:00;11.5043
2024-01-09 10:00:00;10.9229
2024-01-09 11:00:00;10.1634
2024-01-09 12:00:00;9.7666
2024-01-09 13:00:00;10.4943
2024-01-09 14:00:00;11.6993
2024-01-09 15:00:00;12.7938
2024-01-09 16:00:00;13.5910
2024-01-09 17:00:00;13.8145
2024-01-09 18:00:00;12.9703
2024-01-09 19:00:00;12.1965
2024-01-09 20:00:00;11.1438
2024-01-09 21:00:00;10.9307
2024-01-09 22:00:00;9.5275
2024-01-09 23:00:00;9.3448
2024-01-10 00:00:00;8.4673
2024-01-10 01:00:00;8.2562
2024-01-10 02:00:00;8.3895
2024-01-10 03:00:00;8.6296
2024-01-10 04:00:00;8.9303
2024-01-10 05:00:00;9.8283
2024-01-10 06:00:00;12.2323
2024-01-10 07:00:00;13.4182
2024-01-10 08:00:00;13.9410
2024-01-10 09:00:00;12.4468
2024-01-10 10:00:00;11.3191
2024-01-10 11:00:00;10.4565
2024-01-10 12:00:00;10.0002
2024-01-10 13:00:00;11.1029
2024-01-10 14:00:00;11.8575
2024-01-10 15:00:00;13.2707
2024-01-10 16:00:00;14.2923
2024-01-10 17:00:00;14.3624
2024-01-10 18:00:00;13.1192
2024-01-10 19:00:00;12.3126
2024-01-10 20:00:00;11.1242
2024-01-10 21:00:00;10.6437
2024-01-10 22:00:00;9.3915
2024-01-10 23:00:00;9.1654
2024-01-11 00:00:00;8.7967
2024-01-11 01:00:00;8.4831
2024-01-11 02:00:00;8.4298
2024-01-11 03:00:00;8.1632
2024-01-11 04:00:00;8.4924
2024-01-11 05:00:00;10.0718
2024-01-11 06:00:00;11.4735
2024-01-11 07:00:00;12.5935
2024-01-11 08:00:00;14.0393
2024-01-11 09:00:00;12.1929
2024-01-11 10:00:00;10.7157
2024-01-11 11:00:00;10.2220
2024-01-11 12:00:00;9.8139
2024-01-11 13:00:00;10.3602
2024-01-11 14:00:00;11.2741
2024-01-11 15:00:00;12.7756
2024-01-11 16:00:00;14.7363
2024-01-11 17:00:00;14.9655
2024-01-11 18:00:00;12.5985
2024-01-11 19:00:00;12.3612
2024-01-11 20:00:00;10.8366
2024-01-11 21:00:00;10.3762
2024-01-11 22:00:00;8.9431
2024-01-11 23:00:00;9.4500
2024-01-12 00:00:00;8.6707
2024-01-12 01:00:00;8.4663
2024-01-12 02:00:00;8.1302
2024-01-12 03:00:00;8.4812
2024-01-12 04:00:00;8.8212
2024-01-12 05:00:00;9.4516
2024-01-12 06:00:00;10.3932
2024-01-12 07:00:00;13.2321
2024-01-12 08:00:00;13.8257
2024-01-12 09:00:00;12.7662
2024-01-12 10:00:00;11.6018
2024-01-12 11:00:00;10.9751
2024-01-12 12:00:00;10.4925
2024-01-12 13:00:00;10.7019
2024-01-12 14:00:00;11.0766
2024-01-12 15:00:00;12.0608
2024-01-12 16:00:00;12.9109
2024-01-12 17:00:00;12.4332
2024-01-12 18:00:00;11.9653
2024-01-12 19:00:00;10.9726
2024-01-12 20:00:00;10.0348
2024-01-12 21:00:00;9.4823
2024-01-12 22:00:00;8.4976
2024-01-12 23:00:00;8.1204
2024-01-13 00:00:00;8.8385
2024-01-13 01:00:00;8.0814
2024-01-13 02:00:00;7.9103
2024-01-13 03:00:00;7.8089
2024-01-13 04:00:00;7.7474
2024-01-13 05:00:00;8.3486
2024-01-13 06:00:00;9.2502
2024-01-13 07:00:00;9.3164
2024-01-13 08:00:00;8.1171
2024-01-13 09:00:00;6.8850
2024-01-13 10:00:00;7.2513
2024-01-13 11:00:00;7.0150
2024-01-13 12:00:00;7.0213
2024-01-13 13:00:00;6.7579
2024-01-13 14:00:00;7.5375
2024-01-13 15:00:00;7.8564
2024-01-13 16:00:00;7.9367
2024-01-13 17:00:00;7.3840
2024-01-13 18:00:00;7.1353
2024-01-13 19:00:00;6.7114
2024-01-13 20:00:00;6.7803
2024-01-13 21:00:00;7.0078
2024-01-13 22:00:00;5.5862
2024-01-13 23:00:00;6.3594
2024-01-14 00:00:00;6.1561
2024-01-14 01:00:00;5.9649
2024-01-14 02:00:00;6.1106
2024-01-14 03:00:00;6.4509
2024-01-14 04:00:00;6.8063
2024-01-14 05:00:00;7.3238
2024-01-14 06:00:00;7.8199
2024-01-14 07:00:00;8.0310
2024-01-14 08:00:00;7.2556
2024-01-14 09:00:00;7.9695
2024-01-14 10:00:00;7.8838
2024-01-14 11:00:00;7.9882
2024-01-14 12:00:00;7.8792
2024-01-14 13:00:00;8.1470
2024-01-14 14:00:00;8.4223
2024-01-14 15:00:00;9.0575
2024-01-14 16:00:00;9.4071
2024-01-14 17:00:00;9.1646
2024-01-14 18:00:00;9.2983
2024-01-14 19:00:00;8.1743
2024-01-14 20:00:00;7.4807
2024-01-14 21:00:00;7.6396
2024-01-14 22:00:00;6.8768
2024-01-14 23:00:00;6.5164
2024-01-15 00:00:00;6.5759
2024-01-15 01:00:00;6.2808
2024-01-15 02:00:00;6.2332
2024-01-15 03:00:00;6.2308
2024-01-15 04:00:00;6.5059
2024-01-15 05:00:00;7.7874
2024-01-15 06:00:00;9.1609
2024-01-15 07:00:00;9.1725
2024-01-15 08:00:00;9.9121
2024-01-15 09:00:00;9.7062
2024-01-15 10:00:00;9.2168
2024-01-15 11:00:00;8.6877
2024-01-15 12:00:00;8.1363
2024-01-15 13:00:00;8.6287
2024-01-15 14:00:00;8.9656
2024-01-15 15:00:00;9.7706
2024-01-15 16:00:00;10.5424
2024-01-15 17:00:00;10.7472
2024-01-15 18:00:00;10.7334
2024-01-15 19:00:00;10.2947
2024-01-15 20:00:00;9.5934
2024-01-15 21:00:00;8.7634
2024-01-15 22:00:00;8.1560
2024-01-15 23:00:00;8.5288
2024-01-16 00:00:00;7.7325
2024-01-16 01:00:00;7.8814
2024-01-16 02:00:00;7.7342
2024-01-16 03:00:00;7.7870
2024-01-16 04:00:00;8.0401
2024-01-16 05:00:00;9.0133
2024-01-16 06:00:00;10.4698
2024-01-16 07:00:00;12.7315
2024-01-16 08:00:00;14.4718
2024-01-16 09:00:00;13.1783
2024-01-16 10:00:00;11.5167
2024-01-16 11:00:00;10.3655
2024-01-16 12:00:00;10.0670
2024-01-16 13:00:00;9.6989
2024-01-16 14:00:00;10.0721
2024-01-16 15:00:00;12.0265
2024-01-16 16:00:00;11.7671
2024-01-16 17:00:00;13.0790
2024-01-16 18:00:00;12.0684
2024-01-16 19:00:00;10.1333
2024-01-16 20:00:00;8.6221
2024-01-16 21:00:00;8.3221
2024-01-16 22:00:00;7.5084
2024-01-16 23:00:00;7.5475
2024-01-17 00:00:00;6.8505
2024-01-17 01:00:00;6.9778
2024-01-17 02:00:00;6.8697
2024-01-17 03:00:00;6.9730
2024-01-17 04:00:00;7.3241
2024-01-17 05:00:00;8.0215
2024-01-17 06:00:00;8.7587
2024-01-17 07:00:00;9.8595
2024-01-17 08:00:00;9.3589
2024-01-17 09:00:00;10.2096
2024-01-17 10:00:00;10.7404
2024-01-17 11:00:00;10.7592
2024-01-17 12:00:00;11.5940
2024-01-17 13:00:00;12.5353
2024-01-17 14:00:00;12.7331
2024-01-17 15:00:00;13.0729
2024-01-17 16:00:00;13.6972
2024-01-17 17:00:00;14.0281
2024-01-17 18:00:00;11.1378
2024-01-17 19:00:00;10.4048
2024-01-17 20:00:00;10.2915
2024-01-17 21:00:00;9.7159
2024-01-17 22:00:00;8.6392
2024-01-17 23:00:00;7.9957
2024-01-18 00:00:00;7.8945
2024-01-18 01:00:00;7.4400
2024-01-18 02:00:00;7.3072
2024-01-18 03:00:00;7.4881
2024-01-18 04:00:00;8.1063
2024-01-18 05:00:00;8.8653
2024-01-18 06:00:00;10.3170
2024-01-18 07:00:00;12.4924
2024-01-18 08:00:00;12.5622
2024-01-18 09:00:00;11.7314
2024-01-18 10:00:00;10.5984
2024-01-18 11:00:00;10.6147
2024-01-18 12:00:00;8.9852
2024-01-18 13:00:00;8.9842
2024-01-18 14:00:00;9.1802
2024-01-18 15:00:00;10.1975
2024-01-18 16:00:00;10.9189
2024-01-18 17:00:00;10.0835
2024-01-18 18:00:00;9.6757
2024-01-18 19:00:00;8.6842
2024-01-18 20:00:00;7.9878
2024-01-18 21:00:00;8.0414
2024-01-18 22:00:00;7.3712
2024-01-18 23:00:00;7.1077
2024-01-19 00:00:00;6.7802
2024-01-19 01:00:00;6.4728
2024-01-19 02:00:00;6.4182
2024-01-19 03:00:00;6.3244
2024-01-19 04:00:00;6.7071
2024-01-19 05:00:00;7.6854
2024-01-19 06:00:00;9.2201
2024-01-19 07:00:00;9.9228
2024-01-19 08:00:00;10.3597
2024-01-19 09:00:00;9.7351
2024-01-19 10:00:00;9.1668
2024-01-19 11:00:00;8.0289
2024-01-19 12:00:00;7.3895
2024-01-19 13:00:00;7.6210
2024-01-19 14:00:00;8.2249
