nodes, GUROBI, MOSEK, IPOPT, COSMO, SPOCK
26, 2.234244119, 4.510875745, 0.690014352, 20.446156457, 0.402013
27, 2.673733576, 5.41512402, 1.683904142, 21.979862373, 0.987298
33, 2.200562411, 4.249288948, 0.54206537, 21.656314199, 0.645516
21, 2.637457187, 5.617378612, 2.148896625, 23.372304586, 0.731992
31, 2.281145072, 4.889087026, 1.071580987, 22.50663498, 0.797529
47, 2.226043924, 4.357535845, 0.631887216, 20.845379198, 1.05469
13, 3.542848142, 6.589575765, 3.153476375, 24.815027641, 1.12119
21, 1.881011892, 4.125310653, 0.331273811, 20.66801626, 0.465477
69, 2.270947845, 4.23794275, 0.909781316, 24.482841691, 0.461612
85, 2.272505483, 4.405448084, 0.793216131, 22.075858941, 0.677585
78, 2.12581789, 4.625402515, 1.481800964, 24.39080437, 1.44317
19, 2.395780728, 5.091937076, 1.659307097, 24.232137531, 0.916399
11, 2.110131326, 4.022584554, 0.299132198, 19.675976998, 0.492888
25, 1.938947164, 4.044379426, 0.343760296, 19.785415751, 0.431567
31, 2.359475695, 5.091348873, 1.539927868, 23.644218393, 1.48858
25, 2.269175065, 4.956619781, 1.695515365, 22.989325431, 1.02823
40, 2.537717179, 5.604839152, 2.261522636, 0.0, 0.581652
23, 2.216510032, 4.533707728, 0.890472526, 20.477664275, 0.554636
106, 2.211332874, 4.314279103, 0.964031191, 23.729725768, 0.272237
17, 2.810000786, 5.65308432, 2.936205049, 28.007924007, 1.55481
64, 2.166596138, 4.438818217, 1.275408465, 22.183582927, 1.98415
31, 2.662887932, 5.1089124, 2.09139935, 22.767840952, 0.46128
43, 1.904659194, 4.159410839, 0.386120341, 21.404846457, 0.480025
11, 2.769430467, 5.428186919, 1.853282687, 22.282788317, 0.978433
31, 2.454496082, 5.186402619, 1.445997202, 22.24153909, 0.485605
41, 2.332196836, 5.22432416, 1.934454606, 24.399315975, 0.594886
15, 1.928121462, 4.103843548, 0.30775166, 20.250785567, 0.630802
19, 2.391619484, 5.152517168, 1.565326881, 27.896405495, 0.612258
13, 3.199018475, 7.487419787, 3.305623086, 25.195704921, 1.10557
27, 2.295211617, 5.076694915, 1.361046762, 22.708558978, 1.39672
37, 2.293482688, 5.583995892, 1.156895165, 24.235677897, 2.37626
25, 2.794655457, 6.819117547, 2.284491732, 23.351627773, 1.68442
28, 2.320109474, 4.068005872, 0.358027982, 19.978909205, 0.689717
31, 2.460222663, 4.917438019, 1.820015771, 22.940991735, 0.897409
11, 2.326428145, 4.635554692, 0.924125582, 22.836147962, 0.531587
21, 1.923400491, 3.994673968, 0.264018945, 19.774004903, 0.822622
29, 2.262287896, 4.238943589, 0.583725661, 20.854300158, 0.612687
23, 2.8257966, 6.016424737, 2.590069905, 24.263018302, 1.55388
55, 2.203298247, 4.290259361, 0.723595062, 24.388496336, 0.471858
39, 2.14542666, 4.311366716, 0.525361865, 21.383741744, 0.402962
16, 2.220655141, 4.700530051, 0.979577752, 20.802823555, 1.052
49, 2.715488761, 4.280332814, 0.533780106, 20.811571207, 0.205402
61, 2.127708014, 0.0, 1.261773703, 22.421817637, 0.561528
59, 1.900321905, 4.180545372, 0.432282114, 20.847694813, 1.77784
81, 2.144155787, 4.236668055, 0.677407554, 21.441299286, 0.964667
25, 2.136359503, 4.021206723, 0.441406156, 19.919226983, 1.5305
